data,objeto,valor
06/jan.,salário,"R$ 13.408,75"
01/jan.,sobra cc,"R$ 1.644,00"
04/jan.,resgate selic,"R$ 1.510,00"
12/jan.,resgate selic,"R$ 3.033,78"
25/jan.,resgate selic,"R$ 2.029,69"
03/jan.,horta marizia,"-R$ 17,00"
04/jan.,investimento,"-R$ 1.430,00"
06/jan.,maiara,"-R$ 250,00"
06/jan.,apas,"-R$ 323,61"
06/jan.,escola joâo,"-R$ 2.751,08"
05/jan.,cell tim mamis,"-R$ 72,99"
05/jan.,fone mãe,"-R$ 35,87"
09/jan.,condominio,"-R$ 430,00"
17/jan.,daerp,"-R$ 271,92"
12/jan.,saúde mãe,"-R$ 923,73"
17/jan.,mei,"-R$ 66,60"
17/jan.,taxa manutenção girassois,"-R$ 89,34"
10/jan.,naufel tennis,"-R$ 200,00"
10/jan.,piscina,"-R$ 150,00"
06/jan.,piano,"-R$ 920,00"
12/jan.,ações/dolar (nu),"-R$ 3.010,00"
17/jan.,cpfl,"-R$ 102,15"
23/jan.,net,"-R$ 406,23"
02/jan.,compra posto,"-R$ 8,50"
02/jan.,taxa B3,"-R$ 19,62"
09/jan.,iptu,"-R$ 2.920,54"
12/jan.,ipva tucson,"-R$ 2.159,21"
09/jan.,compra,"-R$ 9,50"
17/jan.,nu clear,"-R$ 400,00"
09/jan.,maiara uber,"-R$ 20,00"
10/jan.,maiara uber,"-R$ 30,00"
24/jan.,ar condicionado,"-R$ 474,30"
13/jan.,compra,"-R$ 4,50"
13/jan.,horta marizia,"-R$ 23,00"
31/jan.,euro wise,"-R$ 956,88"
16/jan.,saque,"-R$ 200,00"
17/jan.,maiara uber,"-R$ 3,00"
24/jan.,horta marizia,"-R$ 22,00"
25/jan.,compra de dolar,"-R$ 1.500,00"
25/jan.,wise compra euros,"-R$ 169,78"
25/jan.,compra,"-R$ 6,00"
30/jan.,poly euros,"-R$ 200,00"
30/jan.,maiara adiatamento,"-R$ 50,00"
30/jan.,maiara uber,"-R$ 50,00"